customerid,accesskey,firstname,lastname,companyname,billingaddress1,billingaddress2,city,state,postalcode,country,phonenumber,faxnumber,emailaddress,paysstatetax,taxid,emailsubscriber,catalogsubscriber,lastmodified,percentdiscount,websiteaddress,discountlevel,customertype,lastmodby,customer_isanonymous,issuperadmin,news1,news2,news3,news4,news5,news6,news7,news8,news9,news10,news11,news12,news13,news14,news15,news16,news17,news18,news19,news20,allow_access_to_private_sections,customer_notes,salesrep_customerid,id_customers_groups,custom_field_custom1,custom_field_custom2,custom_field_custom3,custom_field_custom4,custom_field_custom5,removed_from_rewards,restrictedpaymentmethodids,restrictedshippingmethodids,createddate,restrictedfreeshipping
"3114","C","Patricia","Clark","","4315 Heath Drive","","St. Louis","MO","63134","United States","","","FiberArtist555@aol.com","","C8C45F20BCE5AEA4162D0C797732F207F3C4C561B08B0239074151BA0D8CF1C5","Y","","1/2/2014 10:12:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3115","C","Virginia","Acosta","","1805 Canyon Creek D","","McKinney","TX","75070","United States","2144773004","","vacosta@thejouledallas.com","","","","","1/3/2014 1:39:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3116","C","Amanda","Kellogg","Pure Yoga Lounge & Wellness","140 Forrest Dr","","Sherwood Park","AB","T8A 6A8","Canada","780-993-0542","","amanda@pureyogalounge.com","","68200E11019A2CF679DB6D824CAA2A65F8A7F52D34302CA4F3E904B4857C3C4B","Y","","1/3/2014 12:07:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3117","A","Ela","Martinescu","Michele Pelafas, Inc","517 S Fairfield Ave","","Elmhurst","IL","60126","United States","630-990-7750","","ela@spainteriors.com","","","N","N","9/13/2017 3:36:00 PM","","","","","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","1","","","","","","","N","","","",""
"3118","C","mindy","russell","","44714 173rd st","","watertown","SD","57201","United States","6059560363","","mindyrussell26@gmail.com","","","Y","","1/3/2014 4:26:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3119","C","Michelle","kichura"," eternity med spa","12309 Olive Blvd","","Creve Coeur","MO","63141","United States","314-469-2946","","eternitymedspa@gmail.com","","","Y","","1/5/2014 11:51:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3120","C","Zenaida","Rabang","Nohea Nail Salon","9435 Santa Fe rose street ","","Las Vegas","NV","89123","United States","8084297900","","zenarabang@gmail.com","","","Y","","1/7/2014 1:47:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3121","C","Mirella","Montefusco","Skincare by Mirella","2 West Street","","Danvers","MA","01923","United States","968-766-5922","","Skincarebymirella@gmail.com","","","","","1/9/2014 3:55:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3122","C","","","","","","","","","","","","nicolemcquilkin@hotmail.com","","","Y","","1/10/2014 2:25:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3123","C","Brittany ","Norsworthy","Spectrum Resorts","453 Beach Club Trail ","","Gulf Shores","AL","36542","United States","251-224-2772","","bnorsworthy@spectrumresorts.com","","CD4BFA7965155998108947EFA5D8752BCE95180A4BE5F19A0BEC7C265A4FA802","Y","","1/10/2014 3:17:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3124","C","","","","","","","","","","","","bigkate43@gmail.com","","","Y","","1/12/2014 8:18:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3125","C","Viki","White","The Spa at Live Well","102 W. Randolph Street","","Enid","OK","73701","United States","580-233-4300","","docviki@gmail.com","","","N","N","1/13/2014 12:35:00 PM","","","","","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","N","","","",""
"3126","C","tan","","","","","","","","","","","luxspausa@gmail.com","","","Y","","1/13/2014 2:30:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3127","C","Precious","Chiloloma","Malibu Waxing, Inc.","82-38 260th Street","","New York","NY","11004","United States","516-637-1699","","preciousdesly@live.com","","","N","N","1/14/2014 9:52:00 AM","","","","","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Business Account Approved 1.14.14","","","","","","","","N","","","",""
"3128","C","Jessica ","Hennessey","La Bella Vita hair studio , Lounge and spa","973 McIntire ave ","","Zanesville ","OH","43701","United States","7406072375","","Brenwoodgirl@yahoo.com","","","Y","","11/26/2014 4:19:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3129","C","","","","","","","","","","","","TREREP@AOL.COM","","","Y","","1/14/2014 7:23:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130","C","liz","carruthers","sanctuary spa","72 railroad pl","","saratoga springs ","NY","12866","United States","518-587-5219","","liz@sanctuarysaratoga.com","","","","","1/16/2014 1:44:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3131","C","Tara","","","","","","","","","","","nailbarss@gmail.com","","","Y","","1/17/2014 12:02:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3132","C","Kiley","Russell","Big girl cosmetics","1525 e. 53rd","Suite422","Chicago","IL","60615","United States","7733397428","","Kiley@biggirlcosmetics.com","","96E087B4FD8E607BA3C3D0CB26FE125A9A9CA41840E751D338076F2CE2F51E1D","Y","","1/17/2014 1:11:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3133","C","BOBBY","POURZIAEE","RODEO DRIVE PODIATRY","421 N RODEO DRIVE G-12","","BEVERLY HILLS","CA","90210","United States","3107701492","","drbobbydpm@me.com","","","Y","","1/19/2014 8:12:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3134","C","Jenete","Maslonka","","2727 Athens Ave","","Carlsbad","CA","92010","United States","(760)607 5404","","Berryno5@yahoo.com","","","","","1/20/2014 12:37:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3135","C","Rachel","Shubin","","2952 Whittier Court","","Ann Arbor","MI","48104","United States","7348839703","","rachelshubin@yahoo.com","","","Y","","1/20/2014 4:59:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3136","C","","","","","","","","","","","","lmartin@peoriasurgical.com","","","Y","","1/21/2014 11:07:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3137","C","Megan","Joyce","Joyce Wellness","2900 Bristol St.","Suite J 106","Costa Mesa","CA","92626","United States","818-395-3451","","meganmjoyce@gmail.com","","","","","12/8/2014 12:48:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3138","C","","","","","","","","","","","","woody.gary555@gmail.com","","","Y","","1/22/2014 3:02:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3139","C","sandra","munoz","hide Away Spa & Salon","5756 boat club rd","#500","fort worth","TX","76179","United States","8172380200","","hideawayspa.net@att.net","","","Y","","1/25/2014 11:57:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3140","C","Darling","Merrill","Darling Merrill Hair Co.","427 Merrimac St","","Newburyport","MA","01950","United States","9789443523","","darling@darlingmerrill.com","","","Y","","1/26/2014 9:02:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3141","C","Amber ","Harrell","","5002-B Smokey Valley","","Austin","TX","78731","United States","512-293-2693","","astoller7@aol.com","","","","","1/27/2014 6:07:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3142","C","Kassi","Buscher","THE pearl modern spa and boutique","8171 Maple Lawn Blvd","Suite 100","Fulton","MD","20759","United States","4438643080","","kassi@thepearlspa.com","","B4D6E1E7A208868D2B6CB1A55534373E16FE1EBBB8D4C8A0CA933517E16F4BF3","Y","","1/29/2014 9:29:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3143","C","Michele","Bonarigo","The Point of Aventura","21125 Yacht Club Dr","","Aventura","FL","33180","United States","305-936-1170","","spadirector@thepointofaventura.org","","","Y","","1/30/2014 1:38:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3144","C","","","","","","","","","","","","asuxvmyg@xrgogecs.com","","","Y","","1/31/2014 5:51:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3145","C","Ravinder","Kalirai-Sharda","RKS Skincare","285 Broadway Avenue","","Toronto","","","Canada","416-888-1041","","ravinder.sharda@sympatico.ca","","","N","N","2/1/2014 5:02:00 PM","","","","","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","N","","","",""
"3146","C","","","","","","","","","","","","mscurtsmassages@yahoo.com","","","Y","","2/3/2014 9:15:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3147","C","Katrina","Ezzy","Paris21","Duggan Street","Australia Arcade","Toowoomba","","4350","United States","0746384636","","info@paris21.com.au","","B1A5515843E0CF88A608B71BDE5C88334098752B1A844E2E6A8578674DBD1A40","Y","","2/4/2014 7:46:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3148","C","","","","","","","","","","","","acastoria22@gmail.com","","","N","","2/5/2014 10:22:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3149","C","alethea","austin","","206-112 Riverstone Ridge","","Fort McMurray","AB","T9K1S6","Canada","780-742-8080","","alethea@achievewellnessspa.com","","","Y","","1/24/2018 1:10:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3150","C","","","","","","","","","","","","chelseabowen@outlook.com","","","Y","","2/7/2014 7:55:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3151","C","","","","","","","","","","","","patraotown@gmail.com","","","Y","","2/8/2014 4:30:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3152","C","","","","","","","","","","","","DANA.GLAMNAILS@GMAIL.COM","","","Y","","2/10/2014 5:50:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3153","C","Monique","Johnson","MysticalMiniSpa","628 Newark Ave 2nd floor","","Elizabeth","NJ","07208","United States","908 242-8967","","mysticalminispa@gmail.com","","D38F53E2674ECC249B9EE597DC4CC95EE503BCA39A7F176B649609F68DC46A06","Y","","2/11/2014 9:48:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3154","C","Chanjuan ","Yang","","3839 Husaker Dr.","","EAST LANSING","MI","48823","United States","5175053014","","weiluo0721@gmail.com","","","Y","","2/11/2014 12:29:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3155","C","amina","","","","","","","","","","","aminasha.10@gmail.com","","","Y","","2/12/2014 8:11:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3156","C","Molly","Shriver","","26192 Sanz D226","","Mission Viejo ","CA","92691","United States","9496329003","","Missmollyshriver@gmail.com","","","Y","","2/13/2014 9:37:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3157","C","Molly ","Shriver","","26192 Sanz D226 ","","Mission Viejo ","CA","92691","United States","9496329003","","Molly@beautyfullbymolly.com","","","","","2/13/2014 11:47:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3158","C","","","","","","","","","","","","Truewizard@icloud.com","","","Y","","2/13/2014 1:02:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3159","C","","","","","","","","","","","","gfunkpunk@gmail.com","","","Y","","2/13/2014 1:11:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3160","C","Norma","Davila","Behold The Beauty","930 Main St. Ste.T220","","Houston","TX","77002","United States","713-652-4999","","info@beholdthebeauty.com","","","Y","","2/13/2014 3:17:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3161","C","","","","","","","","","","","","Shannonpearl477@gmail.com","","","","","2/16/2014 8:51:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3162","C","","","","","","","","","","","","claudette@cloudsbeautyandmalegrooming.com","","","Y","","2/16/2014 10:55:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3163","C","","","","","","","","","","","","henroller2000@yahoo.com","","","Y","","2/16/2014 5:30:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3164","C","Chevette","Birgans","Appealing Skin Day Spa","257  Cornell Avenue","","Calumet City","IL","60409","United States","7738992596","","cbirgans@comcast.com","","2EFCBAAB55DE5F807F97FE60D9002D32E98B349CD1EF3F29940E4E54E5DAE0E9","Y","","2/16/2014 5:36:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3165","C","","","","","","","","","","","","cjjackson100@yahoo.com","","","Y","","2/17/2014 12:28:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3166","C","","","","","","","","","","","","swayda@symmetryconst.com","","","Y","","2/17/2014 2:21:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3167","","Christine","Green","Back to Health","997 E. County Line Road","","Greenwood","IN","46237","United States","317-881-8119","","cgreen@backtohealthindy.com","","","N","N","2/17/2014 4:25:00 PM","","www.backtohealthindy.com","","","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","N","","","",""
"3168","","Machelle","Treanor","Seifert Murphy","4040 N. Central Expressway","#205","Dallas","TX","75204","United States","214-635-1013","","mtreanor@seiferturphy.com","","","N","N","2/17/2014 4:27:00 PM","","www.seifertmurphy.com","","","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Architecture & Design Firm","","","","","","","","N","","","",""
"3169","C","machelle","treanor","seifert murphy","4040 n central expressway","suite 205","dallas","TX","75204","United States","2146351013","","mtreanor@seifertmurphy.com","","","","","2/18/2014 11:37:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3170","C","Tiffany","Mayhew","Self + Tucker Architects","505 Tennessee Street","Suite One","Memphis","TN","38103","United States","9012611505","","tmayhew@selftucker.com","","","","","2/18/2014 1:52:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3171","C","Kim","Spinner","Solimar Spa","1121 Town Centre Dr. Ste 105","","Eagan","MN","55123","United States","6516866686","","kspinner@solimarspa.com","","84DD6BCF351BEDC0B1B036DD14796F0B9AE9A6F2CADCDC3238893D0C982E8792","Y","","2/18/2014 4:44:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3172","C","Melissa","Hammond","Sanctuary at Kiawah Island Golf Resort","1 Sanctuary Beach Drive","","Kiawah Island","SC","29455","United States","843-768-2834","","melissa_hammond@kiawahresort.com","","","N","N","2/20/2014 12:21:00 PM","","www.kiawahresort.com","","","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Tax ID 54-2014344
Business Owner Account","","","","","","","","N","","","",""
"3173","C","","","","","","","","","","","","denise@complexions.com","","","Y","","2/20/2014 12:30:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3174","C","","","","","","","","","","","","Kkscolari@aol.com","","","Y","","2/20/2014 8:38:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3175","C","Nadya","Diaz","Amate Healing Spa","6109 Grand Marina Cir.","","Gainesville","GA","30506","United States","678-822-4814","","nadya.i.diaz@gmail.com","","","Y","","2/23/2014 6:12:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3176","C","Angela ","spoon","","114 Mildred Lane","","beebe","AR","72012","United States","5012887238","","beebespoon@yahoo.com","","ED1E7B9605B4015A5DF880B6A7816DF581EC4F3A5136737F02D1FAE2743BCE4A","Y","","2/23/2014 7:39:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3177","C","Laurence","Schmidt","Ohio Sleep Medicine Institute","4975 Bradenton Avenue","","Dublin","OH","43017","United States","614-766-0773","","laurence@sleepmedicine.com","","","","","2/23/2014 7:46:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3178","C","Hailey","Ventura Wilson","","8 Walnut St","Unit 106","Peabody","MA","01960","United States","7819837343","","haileyventurawilson@gmail.com","","","Y","","2/23/2014 8:37:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3179","C","Brittany ","Hourigan ","New skin","620 s center st apt 7c","","Royal Oak ","MI","48067","United States","2484442060","","Brittanyrhourigan@gmail.com","","","Y","","2/23/2014 9:11:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180","C","Chaunda","Michael ","Jaspé ","312 e wood st","","Paris ","TN","38242","United States","7316442004","","Chaundamichael@yahoo.com","","","Y","","2/23/2014 10:01:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3181","C","","","","","","","","","","","","ecgs910@yahoo.com","","","Y","","2/24/2014 12:30:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3182","C","","","","","","","","","","","","analuisarosadogarcia@hotmail.com","","","Y","","2/27/2014 9:20:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3183","C","","","","","","","","","","","","Cyoung@vanilla.co.za","","","Y","","2/28/2014 5:32:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3184","C","Lari","Hines","Salon 297 hair and day spa","4915 Harvey  street","Suite b","Muskegon","MI","49444","United States","2316709599","","Lari1215@aol.com","","","Y","","3/1/2014 1:37:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3185","C","Charlotte","Divincen","","206 Parker Hall","","Rolla","MO","65409","United States","573-341-4116","","Charlotte@mst.edu","","","Y","","3/2/2014 9:05:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3186","C","lisa","jakober","","27 Diane Rd. Unit E","","Columbia Falls","MT","59912","United States","888-338-4776","","lisa@massagebd.com","","","Y","","3/2/2014 2:46:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3187","C","Melissa","Mancha","Lacquered Up Nail Salon","425 W. Ramos St.","","Pharr","TX","78577","United States","9565339077","","odie76om@yahoo.com","","","Y","","3/2/2014 7:54:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3188","C","","","","","","","","","","","","drnaseemmaqsood@gmail.com","","","Y","","3/3/2014 4:42:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3189","C","","","","","","","","","","","","Virginia Delgado","","","Y","","3/3/2014 11:34:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3190","","Cindy","Miller","Two Perfect Pinkies","859 S. University Blvd.","","Denver","CO","80209-4724","United States","720-878-3203","","twoperfectpinkies@gmail.com","","","N","N","3/3/2014 12:36:00 PM","","www.twoperfectpinkies.com","","","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Business Owner - Nail Spa
Tax ID 46-2744249","","","","","","","","N","","","",""
"3191","C","","","","","","","","","","","","renecmitchell@yahoo.com","","","","","3/4/2014 8:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3192","C","Ann","Westerlund","POSH SALON","128 skyline ave","","astoria","OR","97103","United States","5033251358","","annlouise11@hotmail.com","","","","","3/4/2014 4:58:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3193","C","","","","","","","","","","","","Jbest7@hotmail.com","","","Y","","3/4/2014 10:04:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3194","C","LaToya","Williams","","213 W Wood st","","Palatine","IL","60067","United States","77323337878","","toyaswilliams@yahoo.com","","","Y","","3/4/2014 10:14:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3195","C","Erricka","Border","Polished Nail Boutique","1017 Stratford Court","","Racine","WI","53406","United States","2629945800","","pnboutiq@yahoo.com","","","Y","","3/5/2014 12:29:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3196","C","","","","","","","","","","","","Virginiacdelgado@yahoo.com","","","N","","3/5/2014 4:09:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3197","C","Catherine","Veilleux","","511 Route Taylor","","Saint-Georges","QC","G5Y 5C2","Canada","1(418)227-5668","","catheriine_veillx@hotmail.com","","","Y","","3/11/2014 12:54:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3198","C","Louise","Vachon","C'est Chic! Parfume ta Vie","11700, 1e Avenue","Quartier Centre Ville","St-Georges","QC","G5Y2C8","Canada","1-418-227-5855","","parfumetavie@icloud.com","","","Y","","3/5/2014 1:33:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3199","C","Joseph ","aguayo","salon Aguayo ","101 so madison ave ","","Pasadena","CA","91101","United States","6267929981","","joseph@salonaguayo.com","","","Y","","3/6/2014 11:51:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3200","C","Susan","Rozer","The Nail Shop","24 Ash Street","","Frankfort","IL","60423","United States","815-464-0433","","susanrozer@yahoo.com","","","","","3/6/2014 1:57:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3201","C","","","","","","","","","","","","rosemari. Steffen@sbcglobal.net","","","Y","","3/8/2014 1:58:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3202","","Samantha","Sievers","S & Co.","21110 West Nine Mile Road","","Huson","Montana","59846","United States","406-546-7891","","troid1988","","","N","N","3/10/2014 11:35:00 AM","","","","","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Nail Spa - Business Owner","","","","","","","","N","","","",""
"3203","C","","","","","","","","","","","","rosemari.steffen@sbcglobal.net","","","Y","","3/10/2014 2:14:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3204","","Kate","Zahradnikova","z.studio","135 St. Marks Pl.","","Staten Island","NY","10301","United States","718-840-7950","718-815-0789","katezstudio@gmail.com","","","N","N","3/11/2014 11:06:00 AM","","www.katezstudio.wix.com/portfolio","","","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Interior Designer
Resale/Tax ID 46-5031057","","","","","","","","N","","","",""
"3205","C","Kathryn","McKenzie","","3114 Claybrook Dr","","Wylie","TX","75098","United States","4695009828","","drmckenzie@healthblossoms.com","","","","","12/3/2015 9:31:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
